Loading mesh: mug.obj
2117 140 140
2118 141 141
7063 128 128
7064 129 129
2118 141 141
2119 142 142
7062 127 127
7063 128 128
2119 142 142
2120 143 143
7061 126 126
7062 127 127
2120 143 143
2121 144 144
7060 124 124
7061 126 126
2121 144 144
2122 145 145
7059 125 125
7060 124 124
2122 145 145
2123 146 146
4251 147 147
7059 125 125
2123 146 146
139 148 148
4250 149 149
7052 118 118
7059 125 125
4251 147 147
4249 150 150
7045 111 111
7052 118 118
4250 149 149
4248 151 151
7038 104 104
7045 111 111
4249 150 150
4247 152 152
7031 97 97
7038 104 104
4248 151 151
4246 153 153
7024 85 85
7031 97 97
4247 152 152
4245 131 131
7017 82 82
7024 85 85
4246 153 153
7066 154 154
7067 155 155
7074 156 156
7073 157 157
7067 155 155
7068 158 158
7075 159 159
7074 156 156
7068 158 158
7069 160 160
7076 161 161
7075 159 159
7069 160 160
7070 162 162
7077 163 163
7076 161 161
7070 162 162
7071 164 164
7078 165 165
7077 163 163
7071 164 164
7072 166 166
7079 167 167
7078 165 165
7073 157 157
7074 156 156
7081 168 168
7080 169 169
7074 156 156
7075 159 159
7082 170 170
7081 168 168
7075 159 159
7076 161 161
7083 171 171
7082 170 170
7076 161 161
7077 163 163
7084 172 172
7083 171 171
7077 163 163
7078 165 165
7085 173 173
7084 172 172
7078 165 165
7079 167 167
7086 174 174
7085 173 173
7080 169 169
7081 168 168
7088 175 175
7087 176 176
7081 168 168
7082 170 170
7089 177 177
7088 175 175
7082 170 170
7083 171 171
7090 178 178
7089 177 177
7083 171 171
7084 172 172
7091 179 179
7090 178 178
7084 172 172
7085 173 173
7092 180 180
7091 179 179
7085 173 173
7086 174 174
7093 181 181
7092 180 180
7087 176 176
7088 175 175
7095 182 182
7094 183 183
7088 175 175
7089 177 177
7096 184 184
7095 182 182
7089 177 177
7090 178 178
7097 185 185
7096 184 184
7090 178 178
7091 179 179
7098 186 186
7097 185 185
7091 179 179
7092 180 180
7099 187 187
7098 186 186
7092 180 180
7093 181 181
7100 188 188
7099 187 187
7094 183 183
7095 182 182
7102 189 189
7101 190 190
7095 182 182
7096 184 184
7103 191 191
7102 189 189
7096 184 184
7097 185 185
7104 192 192
7103 191 191
7097 185 185
7098 186 186
7105 193 193
7104 192 192
7098 186 186
7099 187 187
7106 194 194
7105 193 193
7099 187 187
7100 188 188
7107 195 195
7106 194 194
7101 190 190
7102 189 189
7109 196 196
7108 197 197
7102 189 189
7103 191 191
7110 198 198
7109 196 196
7103 191 191
7104 192 192
7111 199 199
7110 198 198
7104 192 192
7105 193 193
7112 200 200
7111 199 199
7105 193 193
7106 194 194
7113 201 201
7112 200 200
7106 194 194
7107 195 195
7114 202 202
7113 201 201
139 148 148
2123 146 146
7066 154 154
4210 203 203
2123 146 146
2122 145 145
7067 155 155
7066 154 154
2122 145 145
2121 144 144
7068 158 158
7067 155 155
2121 144 144
2120 143 143
7069 160 160
7068 158 158
2120 143 143
2119 142 142
7070 162 162
7069 160 160
2119 142 142
2118 141 141
7071 164 164
7070 162 162
2118 141 141
2117 140 140
7072 166 166
7071 164 164
2117 140 140
6 139 139
541 204 204
7072 166 166
7072 166 166
541 204 204
540 205 205
7079 167 167
7079 167 167
540 205 205
539 206 206
7086 174 174
7086 174 174
539 206 206
538 207 207
7093 181 181
7093 181 181
538 207 207
537 208 208
7100 188 188
7100 188 188
537 208 208
536 209 209
7107 195 195
7107 195 195
536 209 209
535 210 210
7114 202 202
7114 202 202
535 210 210
8 211 211
2152 212 212
7113 201 201
7114 202 202
2152 212 212
2153 213 213
7112 200 200
7113 201 201
2153 213 213
2154 214 214
7111 199 199
7112 200 200
2154 214 214
2155 215 215
7110 198 198
7111 199 199
2155 215 215
2156 216 216
7109 196 196
